87 4 47 83 12 53 74 9 51 95 38 59 7 | 3
30 41 76 68 82 6 5 23 77 64 41 86 60 69 88 99 39 20 61 37 62 92 70 | 3
54 68 35 4 99 64 66 51 25 34 69 32 34 35 49 13 65 9 50 | 4
27 48 11 68 13 78 72 | 3
5 5 5 5 5 5 5 5 5 5 0 | 3
64 94 68 77 94 91 17 12 3 47 8 31 50 44 94 51 33 65 10 76 88 | 5
0 | 100
30 56 65 50 90 50 54 17 87 33 37 15 33 75 93 92 43 4 85 27 75 12 2 34 | 7
11 50 33 92 52 5 87 93 24 83 98 42 17 51 40 60 1 97 62 24 51 11 10 56 | 4
14 40 92 18 69 | 2
85 27 26 13 78 79 39 70 7 87 88 56 50 3 36 64 78 27 88 80 | 6
1 2 3 | 1000000000000
3 88 77 45 52 21 69 60 0 42 49 33 89 5 23 3 16 87 50 4 | 7
68 66 76 5 66 49 7 60 81 20 | 1
60 24 73 72 48 54 | 1
55 93 42 80 23 78 34 64 55 28 25 77 47 61 96 94 49 74 82 50 9 | 6
1 53 19 51 64 32 50 19 29 99 8 56 33 33 17 34 48 42 | 1
33 24 26 40 85 16 58 16 24 82 72 35 6 50 54 | 1
64 98 37 73 19 12 33 44 0 93 48 74 21 91 44 72 72 79 77 71 24 56 46 31 11 | 6
70 51 96 24 89 0 39 54 0 55 26 95 33 38 12 36 | 6
